"Christie_murder_is_announced" "Christie_murder_of_rodger_ackroyd" "Christie_the_ABC_murders" "Francis_dead_cert" "Francis_odds_against" "M.Westmacott_giants_bread" "Stout_black_orchids" "Stout_right_to_die" "Stout_the_silent_speaker"
"nothing" 0.0493044550096848 0.10292725101898 0.0925354719309068 0.0743256377711456 0.117668466064172 0.0994474101455122 0.119689847178615 0.12882988853414 0.109802883979362
"look" 0.105652403592182 0.0741076207336654 0.13880320789636 0.0994820074783026 0.116455389094438 0.0769310153955849 0.15438255650575 0.0802852928546089 0.0926048419103056
"course" 0.0880436696601514 0.0288196302853143 0.0732572486119679 0.10977324963123 0.132225389700977 0.113520156864217 0.0641815122551996 0.12882988853414 0.0873131366582881
"off" 0.0316957210776545 0.0288196302853143 0.0154225786551511 0.185242358752701 0.157700006065385 0.0684873673643622 0.131832295443113 0.0429432961780466 0.0754067998412488
"than" 0.0316957210776545 0.0699905306929063 0.0578346699568168 0.097195064777652 0.112816158185237 0.1238401711246 0.07458932505334 0.106424690528203 0.116417515544384
"mrs" 0.454305335446381 0.271727942690107 0.227483035163479 0.0194390129555304 0.0376053860617456 0.121963804895439 0.0156117191972107 0.0784181930207808 0.0727609472152401
"nell" 0 0 0 0 0 0.501927966300463 0 0 0
"wasn" 0.162000352174679 0.0452879904483511 0.0886798272671191 0.0400214972613861 0.115242312124704 0.064734634906041 0.15438255650575 0.179241584047499 0.0846672840322794
"might" 0.0704349357281212 0.131746881304294 0.0925354719309068 0.0743256377711456 0.104324619397101 0.0713019167081031 0.095404950649621 0.130696988367968 0.125677999735415
"eyes" 0.112695897164994 0.0658734406521471 0.0578346699568168 0.112060192331881 0.0703584642445563 0.0919419452288698 0.107547398914118 0.108291790362031 0.107157031353354
"people" 0.190174326465927 0.0658734406521471 0.196637877853177 0.0548866248156152 0.0727846181840238 0.118211072437118 0.0555083349234158 0.100823391026718 0.09392776822331
"things" 0.0986089100193696 0.127629791263535 0.0771128932757557 0.0411649686117114 0.0691453872748226 0.242989426676299 0.0451005221252754 0.0298735973412498 0.0449794946421484
"head" 0.059869695368903 0.0782247107744246 0.161937075879087 0.097195064777652 0.0861284648510948 0.0694255504789425 0.111016669846832 0.125095688866484 0.0873131366582881
"first" 0.0669131889417151 0.0699905306929063 0.0886798272671191 0.104055892879604 0.089767695760296 0.0938183114580304 0.088466408784194 0.082152392688437 0.108479957666358
"oh" 0.193696073252333 0.0699905306929063 0.107958050586058 0.0434519113123621 0.0921938496997634 0.203585735863926 0.0398966157262051 0.0336077970089061 0.0383648630771266
"through" 0.0810001760873393 0.086458890855943 0.0385564466378779 0.110916720981556 0.121307696973373 0.0816219309684864 0.133566930909469 0.0634813943501559 0.0674692419632227
"even" 0.0281739742912485 0.0452879904483511 0.0308451573103023 0.0777560518221216 0.089767695760296 0.0778691985101652 0.0971395861159777 0.130696988367968 0.129646778674428
"joe" 0 0 0 0.192103186854653 0.00121307696973373 0.286145849946993 0.00173463546635675 0 0
"face" 0.105652403592182 0.0782247107744246 0.127236273904997 0.0983385361279773 0.0873415418208285 0.106952875062155 0.0867317733178373 0.0541458951810153 0.0529170525201746
"still" 0.0211304807184363 0.086458890855943 0.0616903146206046 0.145220861491315 0.118881543033905 0.0703637335935228 0.0537736994570591 0.0634813943501559 0.0859902103452838
"left" 0.0915654164465575 0.197620321956441 0.10410240592227 0.0811864658730976 0.101898465457633 0.0516000713019167 0.0763239605196968 0.113893089863515 0.0740838735282445
"must" 0.063391442155309 0.267610852649347 0.0925354719309068 0.0457388540130127 0.07157154121429 0.15292384767659 0.0416312511925619 0.0597471946824997 0.0595316840851965
"always" 0.0774784293009333 0.10292725101898 0.100246761258482 0.0331606691594342 0.0521623096985504 0.241113060447138 0.0208156255962809 0.0429432961780466 0.0423336420161397
